Station,DateTime,Entero SSM,Entero GM,Entero SSM_CFU,Entero GM2
Radio Island Public Beach Access,2010-01-25 16:40:00,27.1,48.6,,
Radio Island Public Beach Access,2010-02-18 16:09:00,9.0,17.2,,
Radio Island Public Beach Access,2010-03-25 14:36:00,9.700000000000001,15.1,,
Radio Island Public Beach Access,2010-04-05 14:53:00,63.7,19.3,,
Radio Island Public Beach Access,2010-04-12 14:40:00,15.3,18.7,,
Radio Island Public Beach Access,2010-04-19 15:09:00,9.700000000000001,15.3,,
Radio Island Public Beach Access,2010-04-26 15:13:00,12.2,16.2,,
Radio Island Public Beach Access,2010-05-03 14:59:00,12.2,17.0,,
Radio Island Public Beach Access,2010-05-10 15:12:00,9.0,11.5,,
Radio Island Public Beach Access,2010-05-17 15:24:00,9.3,10.4,,
Radio Island Public Beach Access,2010-05-24 14:56:00,9.3,10.3,,
Radio Island Public Beach Access,2010-06-01 15:09:00,14.1,10.6,,
Radio Island Public Beach Access,2010-06-07 15:02:00,9.3,10.0,,
Radio Island Public Beach Access,2010-06-14 14:28:00,9.0,10.0,,
Radio Island Public Beach Access,2010-06-21 14:32:00,9.3,10.0,,
Radio Island Public Beach Access,2010-06-28 14:53:00,9.3,10.0,,
Radio Island Public Beach Access,2010-07-06 15:18:00,10.0,9.4,,
Radio Island Public Beach Access,2010-07-12 14:33:00,9.3,9.4,,
Radio Island Public Beach Access,2010-07-19 14:21:00,10.0,9.6,,
Radio Island Public Beach Access,2010-07-26 14:20:00,9.3,9.6,,
Radio Island Public Beach Access,2010-08-02 15:02:00,9.0,9.5,,
Radio Island Public Beach Access,2010-08-09 14:51:00,20.5,11.0,,
Radio Island Public Beach Access,2010-08-16 14:46:00,9.3,11.0,,
Radio Island Public Beach Access,2010-08-23 14:42:00,20.0,12.6,,
Radio Island Public Beach Access,2010-08-30 14:33:00,9.3,12.6,,
Radio Island Public Beach Access,2010-09-07 14:33:00,9.3,12.7,,
Radio Island Public Beach Access,2010-09-13 14:50:00,18.400000000000002,12.4,,
Radio Island Public Beach Access,2010-09-20 14:46:00,98.5,19.900000000000002,,
Radio Island Public Beach Access,2010-09-27 15:03:00,2006.0,50.1,,
Radio Island Public Beach Access,2010-09-28 15:25:00,70.5,75.10000000000001,,
Radio Island Public Beach Access,2010-10-04 16:16:00,48.4,104.4,,
Radio Island Public Beach Access,2010-10-12 13:45:00,9.0,90.5,,
Radio Island Public Beach Access,2010-10-21 15:29:00,9.0,56.1,,
Radio Island Public Beach Access,2010-10-25 14:50:00,9.700000000000001,19.3,,
Radio Island Public Beach Access,2010-11-03 15:17:00,36.1,16.9,,
Radio Island Public Beach Access,2010-12-20 17:08:00,9.700000000000001,12.2,,
Radio Island Public Beach Access,2011-01-24 15:32:00,9.3,12.3,,
Radio Island Public Beach Access,2011-02-07 16:02:00,9.0,12.3,,
Radio Island Public Beach Access,2011-03-31 14:24:00,23.5,14.7,,
Radio Island Public Beach Access,2011-04-04 14:55:00,9.0,11.1,,
Radio Island Public Beach Access,2011-04-12 16:20:00,11.7,11.6,,
Radio Island Public Beach Access,2011-04-18 14:31:00,9.700000000000001,11.7,,
Radio Island Public Beach Access,2011-04-25 14:28:00,12.6,12.5,,
Radio Island Public Beach Access,2011-05-02 14:59:00,9.3,10.4,,
Radio Island Public Beach Access,2011-05-09 15:10:00,9.0,10.4,,
Radio Island Public Beach Access,2011-05-16 15:43:00,29.2,12.4,,
Radio Island Public Beach Access,2011-05-23 16:07:00,9.3,12.3,,
Radio Island Public Beach Access,2011-05-31 15:42:00,11.7,12.2,,
Radio Island Public Beach Access,2011-06-06 15:29:00,9.0,12.1,,
Radio Island Public Beach Access,2011-06-13 14:33:00,9.0,12.1,,
Radio Island Public Beach Access,2011-06-20 15:50:00,18.400000000000002,11.0,,
Radio Island Public Beach Access,2011-06-27 16:05:00,12.2,11.6,,
Radio Island Public Beach Access,2011-07-05 18:28:00,14.6,12.2,,
Radio Island Public Beach Access,2011-07-11 15:35:00,9.700000000000001,12.3,,
Radio Island Public Beach Access,2011-07-18 15:49:00,9.0,12.3,,
Radio Island Public Beach Access,2011-07-25 15:25:00,9.0,10.7,,
Radio Island Public Beach Access,2011-08-01 14:43:00,9.3,10.1,,
Radio Island Public Beach Access,2011-08-08 14:53:00,9.3,9.3,,
Radio Island Public Beach Access,2011-08-15 15:31:00,9.3,9.200000000000001,,
Radio Island Public Beach Access,2011-08-22 14:50:00,17.7,10.5,,
Radio Island Public Beach Access,2011-08-30 15:37:00,12.2,11.2,,
Radio Island Public Beach Access,2011-09-06 14:37:00,10.0,11.3,,
Radio Island Public Beach Access,2011-09-12 15:01:00,12.2,12.0,,
Radio Island Public Beach Access,2011-09-19 15:09:00,125.1,20.1,,
Radio Island Public Beach Access,2011-09-20 16:40:00,9.3,17.7,,
Radio Island Public Beach Access,2011-09-26 15:18:00,461.1,36.6,,
Radio Island Public Beach Access,2011-09-27 15:58:00,2006.0,105.6,,
Radio Island Public Beach Access,2011-10-03 14:56:00,9.3,100.0,,
Radio Island Public Beach Access,2011-10-10 16:58:00,9.0,59.1,,
Radio Island Public Beach Access,2011-10-18 15:12:00,9.0,58.7,,
Radio Island Public Beach Access,2011-10-24 16:26:00,17.7,30.6,,
Radio Island Public Beach Access,2011-11-21 17:11:00,9.0,10.4,,
Radio Island Public Beach Access,2011-12-14 16:32:00,9.0,10.3,,
Radio Island Public Beach Access,2012-01-18 16:19:00,9.3,10.4,,
Radio Island Public Beach Access,2012-02-07 16:51:00,9.0,10.4,,
Radio Island Public Beach Access,2012-03-12 15:43:00,9.0,9.1,,
Radio Island Public Beach Access,2012-04-02 16:32:00,12.6,9.700000000000001,,
Radio Island Public Beach Access,2012-04-09 16:18:00,9.3,9.8,,
Radio Island Public Beach Access,2012-04-17 16:05:00,9.3,9.8,,
Radio Island Public Beach Access,2012-04-23 14:42:00,31.0,12.5,,
Radio Island Public Beach Access,2012-04-30 14:42:00,9.0,12.5,,
Radio Island Public Beach Access,2012-05-07 13:24:00,124.0,19.7,,
Radio Island Public Beach Access,2012-05-08 14:59:00,9.0,19.6,,
Radio Island Public Beach Access,2012-05-14 14:49:00,9.0,19.5,,
Radio Island Public Beach Access,2012-05-21 14:04:00,9.0,15.2,,
Radio Island Public Beach Access,2012-05-29 14:11:00,20.0,17.8,,
Radio Island Public Beach Access,2012-06-04 14:16:00,9.0,10.6,,
Radio Island Public Beach Access,2012-06-11 13:47:00,9.0,10.6,,
Radio Island Public Beach Access,2012-06-18 14:17:00,9.0,10.6,,
Radio Island Public Beach Access,2012-06-25 13:48:00,10.0,10.8,,
Radio Island Public Beach Access,2012-07-02 13:52:00,9.0,9.200000000000001,,
Radio Island Public Beach Access,2012-07-09 14:14:00,9.0,9.200000000000001,,
Radio Island Public Beach Access,2012-07-16 13:56:00,9.0,9.200000000000001,,
Radio Island Public Beach Access,2012-07-23 13:53:00,9.0,9.200000000000001,,
Radio Island Public Beach Access,2012-07-30 13:35:00,9.0,9.0,,
Radio Island Public Beach Access,2012-08-06 14:04:00,9.0,9.0,,
Radio Island Public Beach Access,2012-08-13 13:47:00,9.0,9.0,,
Radio Island Public Beach Access,2012-08-20 14:24:00,9.0,9.0,,
Radio Island Public Beach Access,2012-08-27 14:00:00,20.0,10.6,,
Radio Island Public Beach Access,2012-09-04 13:52:00,53.0,15.1,,
Radio Island Public Beach Access,2012-09-10 14:00:00,10.0,15.4,,
Radio Island Public Beach Access,2012-09-17 14:47:00,9.0,15.4,,
Radio Island Public Beach Access,2012-09-24 14:02:00,31.0,19.7,,
Radio Island Public Beach Access,2012-10-01 13:28:00,9.0,16.8,,
Radio Island Public Beach Access,2012-10-15 14:16:00,738.0,28.4,,
Radio Island Public Beach Access,2012-10-16 16:48:00,9.0,27.8,,
Radio Island Public Beach Access,2012-11-08 16:44:00,9.0,27.8,,
Radio Island Public Beach Access,2012-12-03 17:13:00,31.0,27.8,,
Radio Island Public Beach Access,2013-01-15 16:30:00,10.0,28.4,,
Radio Island Public Beach Access,2013-02-05 17:11:00,9.0,11.8,,
Radio Island Public Beach Access,2013-03-25 16:15:00,20.0,13.8,,
Radio Island Public Beach Access,2013-04-01 16:12:00,9.0,13.8,,
Radio Island Public Beach Access,2013-04-08 16:10:00,9.3,10.9,,
Radio Island Public Beach Access,2013-04-15 16:15:00,87.0,16.7,,
Radio Island Public Beach Access,2013-04-22 15:41:00,18.400000000000002,19.3,,
Radio Island Public Beach Access,2013-04-29 15:45:00,14.1,18.0,,
Radio Island Public Beach Access,2013-05-06 15:20:00,1579.9,50.6,,
Radio Island Public Beach Access,2013-05-07 13:07:00,77.5,77.3,,
Radio Island Public Beach Access,2013-05-13 15:47:00,9.3,49.4,,
Radio Island Public Beach Access,2013-05-20 15:41:00,20.5,50.5,,
Radio Island Public Beach Access,2013-05-28 15:44:00,15.0,51.2,,
Radio Island Public Beach Access,2013-06-03 15:50:00,11.7,19.2,,
Radio Island Public Beach Access,2013-06-10 14:59:00,9.3,12.5,,
Radio Island Public Beach Access,2013-06-17 15:10:00,12.2,13.2,,
Radio Island Public Beach Access,2013-06-24 14:59:00,12.6,12.0,,
Radio Island Public Beach Access,2013-07-01 15:05:00,9.3,10.9,,
Radio Island Public Beach Access,2013-07-08 15:10:00,34.300000000000004,13.5,,
Radio Island Public Beach Access,2013-07-15 15:08:00,12.6,14.4,,
Radio Island Public Beach Access,2013-07-22 15:24:00,20.0,15.9,,
Radio Island Public Beach Access,2013-07-29 15:12:00,10.0,15.2,,
Radio Island Public Beach Access,2013-08-05 14:51:00,12.2,16.0,,
Radio Island Public Beach Access,2013-08-12 15:03:00,12.2,13.0,,
Radio Island Public Beach Access,2013-08-20 15:39:00,37.1,16.2,,
Radio Island Public Beach Access,2013-08-26 15:01:00,23.1,16.6,,
Radio Island Public Beach Access,2013-09-03 15:00:00,9.0,16.3,,
Radio Island Public Beach Access,2013-09-09 15:20:00,9.700000000000001,15.6,,
Radio Island Public Beach Access,2013-09-16 16:29:00,9.3,14.7,,
Radio Island Public Beach Access,2013-09-23 15:47:00,41.0,15.0,,
Radio Island Public Beach Access,2013-09-30 14:47:00,9.700000000000001,12.6,,
Radio Island Public Beach Access,2013-10-07 15:07:00,75.0,19.3,,
Radio Island Public Beach Access,2013-10-21 15:11:00,9.700000000000001,19.3,,
Radio Island Public Beach Access,2013-11-05 16:45:00,9.700000000000001,19.5,,
Radio Island Public Beach Access,2013-12-09 18:18:00,9.3,14.5,,
Radio Island Public Beach Access,2014-01-09 16:56:00,11.7,15.0,,
Radio Island Public Beach Access,2014-02-17 17:20:00,9.700000000000001,10.0,,
Radio Island Public Beach Access,2014-03-24 17:40:00,9.0,9.8,,
Radio Island Public Beach Access,2014-03-31 16:51:00,9.0,9.700000000000001,,
Radio Island Public Beach Access,2014-04-07 15:20:00,13.6,10.5,,
Radio Island Public Beach Access,2014-04-14 15:45:00,9.3,10.0,,
Radio Island Public Beach Access,2014-04-21 15:17:00,28.1,12.4,,
Radio Island Public Beach Access,2014-04-28 15:59:00,9.700000000000001,12.5,,
Radio Island Public Beach Access,2014-05-05 15:33:00,9.0,12.5,,
Radio Island Public Beach Access,2014-05-12 15:36:00,9.0,11.5,,
Radio Island Public Beach Access,2014-05-19 17:35:00,9.0,11.5,,
Radio Island Public Beach Access,2014-05-27 18:05:00,149.6,16.0,,
Radio Island Public Beach Access,2014-05-28 16:05:00,148.5,27.7,,
Radio Island Public Beach Access,2014-05-29 17:00:00,16.1,31.1,,
Radio Island Public Beach Access,2014-06-02 17:15:00,10.0,31.7,,
Radio Island Public Beach Access,2014-06-09 17:24:00,18.400000000000002,36.6,,
Radio Island Public Beach Access,2014-06-10 17:05:00,9.3,21.0,,
Radio Island Public Beach Access,2014-06-16 18:28:00,15.3,13.3,,
Radio Island Public Beach Access,2014-06-23 17:38:00,9.0,11.9,,
Radio Island Public Beach Access,2014-06-30 17:16:00,9.0,11.6,,
Radio Island Public Beach Access,2014-07-07 18:32:00,19.900000000000002,11.8,,
Radio Island Public Beach Access,2014-07-14 17:21:00,9.3,11.8,,
Radio Island Public Beach Access,2014-07-21 17:19:00,9.0,10.6,,
Radio Island Public Beach Access,2014-07-29 17:33:00,9.700000000000001,10.8,,
Radio Island Public Beach Access,2014-08-04 16:33:00,195.4,19.900000000000002,,
Radio Island Public Beach Access,2014-08-05 18:35:00,32.8,22.0,,
Radio Island Public Beach Access,2014-08-11 17:22:00,11.7,23.1,,
Radio Island Public Beach Access,2014-08-18 16:11:00,45.8,32.0,,
Radio Island Public Beach Access,2014-08-26 16:37:00,9.0,31.5,,
Radio Island Public Beach Access,2014-09-02 17:29:00,9.700000000000001,17.3,,
Radio Island Public Beach Access,2014-09-08 17:31:00,16.8,15.1,,
Radio Island Public Beach Access,2014-09-15 16:32:00,9.3,14.4,,
Radio Island Public Beach Access,2014-09-22 17:36:00,10.0,10.6,,
Radio Island Public Beach Access,2014-09-29 16:15:00,25.9,13.1,,
Radio Island Public Beach Access,2014-10-13 16:19:00,12.6,13.9,,
Radio Island Public Beach Access,2014-10-27 18:00:00,9.0,12.2,,
Radio Island Public Beach Access,2014-11-03 19:47:00,9.3,12.2,,
Radio Island Public Beach Access,2014-12-08 18:02:00,239.4,23.1,,
Radio Island Public Beach Access,2015-01-28 17:27:00,26.8,23.2,,
Radio Island Public Beach Access,2015-02-16 17:01:00,9.3,21.9,,
Radio Island Public Beach Access,2015-03-16 16:12:00,12.2,23.2,,
Radio Island Public Beach Access,2015-03-30 18:14:00,9.3,23.2,,
Radio Island Public Beach Access,2015-04-06 13:54:00,9.0,12.1,,
Radio Island Public Beach Access,2015-04-13 17:11:00,9.700000000000001,9.8,,
Radio Island Public Beach Access,2015-04-20 16:38:00,19.6,11.4,,
Radio Island Public Beach Access,2015-04-27 17:15:00,106.7,17.6,,
Radio Island Public Beach Access,2015-05-04 17:44:00,18.400000000000002,20.2,,
Radio Island Public Beach Access,2015-05-12 15:48:00,59.5,29.5,,
Radio Island Public Beach Access,2015-05-18 17:33:00,1797.9,83.7,,
Radio Island Public Beach Access,2015-05-19 16:29:00,9.0,71.7,,
Radio Island Public Beach Access,2015-05-26 17:41:00,9.0,43.7,,
Radio Island Public Beach Access,2015-06-01 17:33:00,2006.0,111.7,,
Radio Island Public Beach Access,2015-06-08 17:28:00,1114.5,200.7,,
Radio Island Public Beach Access,2015-06-10 15:19:00,49.8,98.0,,
Radio Island Public Beach Access,2015-06-15 17:50:00,1637.4,277.3,,
Radio Island Public Beach Access,2015-06-16 19:09:00,9.0,277.3,,
Radio Island Public Beach Access,2015-06-18 12:43:00,22.7,113.2,,
Radio Island Public Beach Access,2015-06-22 17:36:00,2006.0,127.3,,
Radio Island Public Beach Access,2015-06-25 15:05:00,9.0,90.4,,
Radio Island Public Beach Access,2015-06-29 17:44:00,9.0,31.9,,
Radio Island Public Beach Access,2015-07-06 17:48:00,9.0,31.9,,
Radio Island Public Beach Access,2015-07-14 17:16:00,47.1,37.0,,
Radio Island Public Beach Access,2015-07-15 18:26:00,31.7,16.1,,
Radio Island Public Beach Access,2015-07-20 15:28:00,9.0,16.1,,
Radio Island Public Beach Access,2015-07-27 17:41:00,11.7,17.0,,
Radio Island Public Beach Access,2015-08-03 17:21:00,22.3,20.400000000000002,,
Radio Island Public Beach Access,2015-08-10 17:36:00,39.7,19.7,,
Radio Island Public Beach Access,2015-08-17 17:30:00,24.7,18.7,,
Radio Island Public Beach Access,2015-08-24 17:14:00,19.3,21.8,,
Radio Island Public Beach Access,2015-08-31 16:49:00,11.7,21.8,,
Radio Island Public Beach Access,2015-09-08 17:19:00,9.0,18.2,,
Radio Island Public Beach Access,2015-09-14 15:30:00,9.0,13.5,,
Radio Island Public Beach Access,2015-09-21 17:40:00,15.3,12.3,,
Radio Island Public Beach Access,2015-09-28 15:37:00,2935.4,33.6,,
Radio Island Public Beach Access,2015-09-29 13:57:00,19.0,37.0,,
Radio Island Public Beach Access,2015-10-12 15:06:00,15.3,41.1,,
Radio Island Public Beach Access,2015-10-19 17:00:00,9.0,41.1,,
