Station,Date,Range,HH,HHDate,LL,LLDate,Tide Stage,Tide Stage Fitted
8656483,2010-01-25T05:00:00,3.307,4.104,2010-01-24 06:30:00.0,0.797,2010-01-25 00:36:00.0,2200,2200
8656483,2010-02-18T05:00:00,3.2479999999999998,3.002,2010-02-17 14:12:00.0,-0.246,2010-02-17 08:36:00.0,4100,4100
8656483,2010-03-25T04:00:00,2.936,3.11,2010-03-24 05:54:00.0,0.174,2010-03-25 01:30:00.0,2100,2100
8656483,2010-04-05T04:00:00,3.514,3.888,2010-04-04 04:24:00.0,0.374,2010-04-04 22:42:00.0,2300,2300
8656483,2010-04-12T04:00:00,3.242,2.93,2010-04-11 22:48:00.0,-0.312,2010-04-11 16:24:00.0,4300,4300
8656483,2010-04-19T04:00:00,3.225,3.235,2010-04-18 04:00:00.0,0.01,2010-04-18 09:12:00.0,4000,4000
8656483,2010-04-26T04:00:00,4.127,4.058,2010-04-25 22:00:00.0,-0.069,2010-04-25 16:18:00.0,2000,4300
8656483,2010-05-03T04:00:00,3.4579999999999997,3.287,2010-05-02 04:00:00.0,-0.171,2010-05-02 20:54:00.0,2300,4000
8656483,2010-05-10T04:00:00,2.972,2.959,2010-05-09 21:18:00.0,-0.013,2010-05-09 15:24:00.0,2000,2000
8656483,2010-05-17T04:00:00,4.111,3.681,2010-05-17 02:48:00.0,-0.43,2010-05-16 20:00:00.0,4000,4000
8656483,2010-05-24T04:00:00,4.0120000000000005,3.822,2010-05-23 21:24:00.0,-0.19,2010-05-23 14:24:00.0,2000,2000
8656483,2010-06-01T04:00:00,3.254,3.32,2010-05-31 04:00:00.0,0.066,2010-05-31 08:42:00.0,4000,4000
8656483,2010-06-07T04:00:00,2.868,3.291,2010-06-06 19:48:00.0,0.423,2010-06-06 13:30:00.0,2100,2100
8656483,2010-06-14T04:00:00,4.423,4.18,2010-06-14 01:54:00.0,-0.243,2010-06-13 18:42:00.0,4100,4100
8656483,2010-06-21T04:00:00,3.9080000000000004,3.619,2010-06-20 19:54:00.0,-0.289,2010-06-20 13:30:00.0,2100,2100
8656483,2010-06-28T04:00:00,3.687,3.802,2010-06-28 01:36:00.0,0.115,2010-06-27 19:12:00.0,4100,4100
8656483,2010-07-06T04:00:00,2.883,3.205,2010-07-05 18:54:00.0,0.322,2010-07-05 12:30:00.0,2100,2100
8656483,2010-07-12T04:00:00,4.54,4.281,2010-07-12 00:48:00.0,-0.259,2010-07-11 17:18:00.0,4200,4200
8656483,2010-07-19T04:00:00,4.006,3.537,2010-07-18 18:36:00.0,-0.469,2010-07-18 12:18:00.0,2200,2200
8656483,2010-07-26T04:00:00,3.776,3.622,2010-07-26 01:00:00.0,-0.154,2010-07-25 18:00:00.0,4100,4200
8656483,2010-08-02T04:00:00,3.0060000000000002,3.419,2010-08-01 16:30:00.0,0.413,2010-08-01 10:24:00.0,2300,2300
8656483,2010-08-09T04:00:00,4.3340000000000005,4.642,2010-08-08 23:36:00.0,0.308,2010-08-08 16:30:00.0,4200,4200
8656483,2010-08-16T04:00:00,3.743,4.17,2010-08-15 17:18:00.0,0.427,2010-08-15 11:00:00.0,2300,2300
8656483,2010-08-23T04:00:00,3.3699999999999997,3.711,2010-08-22 23:36:00.0,0.341,2010-08-22 17:12:00.0,4300,4200
8656483,2010-08-30T04:00:00,2.95,3.573,2010-08-29 15:30:00.0,0.623,2010-08-29 08:42:00.0,4000,4000
8656483,2010-09-07T04:00:00,4.265,4.314,2010-09-06 23:00:00.0,0.049,2010-09-06 16:30:00.0,4300,4300
8656483,2010-09-13T04:00:00,3.7140000000000004,4.472,2010-09-12 15:36:00.0,0.758,2010-09-12 09:06:00.0,2300,4000
8656483,2010-09-20T04:00:00,3.116,3.766,2010-09-19 22:24:00.0,0.65,2010-09-19 15:42:00.0,4300,4300
8656483,2010-09-27T04:00:00,3.245,3.973,2010-09-26 14:30:00.0,0.728,2010-09-26 07:36:00.0,4000,4100
8656483,2010-09-28T04:00:00,3.3760000000000003,4.357,2010-09-27 15:24:00.0,0.981,2010-09-27 08:36:00.0,4000,4000
8656483,2010-10-04T04:00:00,3.1069999999999998,4.337,2010-10-03 20:18:00.0,1.23,2010-10-03 14:18:00.0,2000,2000
8656483,2010-10-12T04:00:00,3.9760000000000004,4.573,2010-10-11 15:24:00.0,0.597,2010-10-11 08:54:00.0,4000,4000
8656483,2010-10-21T04:00:00,3.032,3.583,2010-10-20 10:48:00.0,0.551,2010-10-20 04:18:00.0,4300,4300
8656483,2010-10-25T04:00:00,3.556,3.684,2010-10-24 13:30:00.0,0.128,2010-10-24 19:24:00.0,4100,4100
8656483,2010-11-03T04:00:00,3.346,3.435,2010-11-02 09:00:00.0,0.089,2010-11-02 15:12:00.0,2000,2000
8656483,2010-12-20T05:00:00,3.809,3.871,2010-12-19 11:12:00.0,0.062,2010-12-19 05:00:00.0,2000,2000
8656483,2011-01-24T05:00:00,4.12,3.73,2011-01-23 15:54:00.0,-0.39,2011-01-23 21:00:00.0,4000,4000
8656483,2011-02-07T05:00:00,3.395,2.995,2011-02-06 14:36:00.0,-0.4,2011-02-06 08:24:00.0,4100,4100
8656483,2011-03-31T04:00:00,3.117,3.304,2011-03-30 21:00:00.0,0.187,2011-03-30 04:00:00.0,4300,4300
8656483,2011-04-04T04:00:00,3.452,3.235,2011-04-04 00:42:00.0,-0.217,2011-04-03 18:18:00.0,4200,4200
8656483,2011-04-12T04:00:00,3.235,3.504,2011-04-11 05:24:00.0,0.269,2011-04-12 00:12:00.0,2200,2200
8656483,2011-04-18T04:00:00,4.967,4.127,2011-04-18 00:00:00.0,-0.84,2011-04-17 17:42:00.0,4200,4200
8656483,2011-04-25T04:00:00,3.15,3.045,2011-04-24 05:24:00.0,-0.105,2011-04-25 00:00:00.0,2200,2200
8656483,2011-05-02T04:00:00,3.471,3.379,2011-05-01 23:42:00.0,-0.092,2011-05-01 16:48:00.0,4200,4200
8656483,2011-05-09T04:00:00,3.182,3.556,2011-05-08 04:00:00.0,0.374,2011-05-08 21:42:00.0,2300,2300
8656483,2011-05-16T04:00:00,4.508,4.892,2011-05-15 23:06:00.0,0.384,2011-05-15 16:30:00.0,4300,4300
8656483,2011-05-23T04:00:00,3.478,3.934,2011-05-22 04:18:00.0,0.456,2011-05-22 10:42:00.0,2300,2300
8656483,2011-05-31T04:00:00,3.622,3.428,2011-05-30 23:18:00.0,-0.194,2011-05-30 16:42:00.0,4300,4300
8656483,2011-06-06T04:00:00,3.2159999999999997,3.219,2011-06-05 04:00:00.0,0.003,2011-06-05 20:18:00.0,4000,4000
8656483,2011-06-13T04:00:00,4.5729999999999995,4.281,2011-06-12 22:12:00.0,-0.292,2011-06-12 15:00:00.0,4300,4300
8656483,2011-06-20T04:00:00,3.546,3.763,2011-06-19 04:00:00.0,0.217,2011-06-19 09:18:00.0,4000,4000
8656483,2011-06-27T04:00:00,3.1959999999999997,3.734,2011-06-26 20:48:00.0,0.538,2011-06-26 14:18:00.0,2000,2000
8656483,2011-07-05T04:00:00,3.4160000000000004,3.301,2011-07-04 04:00:00.0,-0.115,2011-07-04 20:30:00.0,4000,4000
8656483,2011-07-11T04:00:00,3.921,4.016,2011-07-10 20:30:00.0,0.095,2011-07-10 14:18:00.0,2000,2000
8656483,2011-07-18T04:00:00,3.543,4.006,2011-07-18 02:36:00.0,0.463,2011-07-17 19:42:00.0,4000,4000
8656483,2011-07-25T04:00:00,2.874,3.386,2011-07-24 19:36:00.0,0.512,2011-07-24 12:30:00.0,2100,2100
8656483,2011-08-01T04:00:00,4.114,4.285,2011-08-01 01:36:00.0,0.171,2011-07-31 18:54:00.0,4100,4100
8656483,2011-08-08T04:00:00,3.757,3.865,2011-08-07 19:42:00.0,0.108,2011-08-07 12:54:00.0,2100,2100
8656483,2011-08-15T04:00:00,3.701,4.357,2011-08-15 01:12:00.0,0.656,2011-08-14 07:12:00.0,4100,4100
8656483,2011-08-22T04:00:00,2.832,3.921,2011-08-21 17:24:00.0,1.089,2011-08-21 11:00:00.0,2300,2200
8656483,2011-08-30T04:00:00,4.1899999999999995,4.055,2011-08-30 00:36:00.0,-0.135,2011-08-29 18:24:00.0,4200,4200
8656483,2011-09-06T04:00:00,3.4050000000000002,4.035,2011-09-05 19:30:00.0,0.63,2011-09-05 12:42:00.0,2100,2100
8656483,2011-09-12T04:00:00,3.308,3.675,2011-09-11 23:42:00.0,0.367,2011-09-11 17:48:00.0,4200,4200
8656483,2011-09-19T04:00:00,2.9029999999999996,4.14,2011-09-18 16:18:00.0,1.237,2011-09-18 09:30:00.0,2300,2300
8656483,2011-09-20T04:00:00,2.9620000000000006,4.15,2011-09-19 16:54:00.0,1.188,2011-09-19 10:30:00.0,2200,2200
8656483,2011-09-26T04:00:00,4.013,4.298,2011-09-25 23:12:00.0,0.285,2011-09-25 16:54:00.0,4300,4300
8656483,2011-09-27T04:00:00,4.37,4.482,2011-09-26 11:36:00.0,0.112,2011-09-26 18:06:00.0,4200,4200
8656483,2011-10-03T04:00:00,3.9139999999999997,4.239,2011-10-02 16:24:00.0,0.325,2011-10-02 09:54:00.0,2300,2300
8656483,2011-10-10T04:00:00,3.074,3.678,2011-10-09 10:54:00.0,0.604,2011-10-09 17:12:00.0,4300,4300
8656483,2011-10-18T04:00:00,2.9619999999999997,3.73,2011-10-17 15:54:00.0,0.768,2011-10-17 09:06:00.0,2300,2300
8656483,2011-10-24T04:00:00,3.288,3.76,2011-10-23 21:18:00.0,0.472,2011-10-23 15:06:00.0,2000,2000
8656483,2011-11-21T05:00:00,3.582,3.064,2011-11-20 07:36:00.0,-0.518,2011-11-21 02:06:00.0,2100,2100
8656483,2011-12-14T05:00:00,3.668,3.789,2011-12-13 14:42:00.0,0.121,2011-12-13 07:48:00.0,4100,4100
8656483,2012-01-18T05:00:00,3.793,3.176,2012-01-17 06:54:00.0,-0.617,2012-01-18 01:36:00.0,2200,2200
8656483,2012-02-07T05:00:00,3.694,3.891,2012-02-06 11:42:00.0,0.197,2012-02-06 05:06:00.0,4300,4300
8656483,2012-03-12T04:00:00,3.973,3.097,2012-03-11 04:00:00.0,-0.876,2012-03-11 20:54:00.0,4000,4000
8656483,2012-04-02T04:00:00,2.565,3.566,2012-04-01 07:36:00.0,1.001,2012-04-01 14:00:00.0,2100,2100
8656483,2012-04-09T04:00:00,5.063,4.797,2012-04-09 02:12:00.0,-0.266,2012-04-08 19:30:00.0,4100,4100
8656483,2012-04-17T04:00:00,3.284,2.933,2012-04-16 21:48:00.0,-0.351,2012-04-16 15:06:00.0,2000,2000
8656483,2012-04-23T04:00:00,3.4480000000000004,4.035,2012-04-23 01:36:00.0,0.587,2012-04-22 08:06:00.0,4100,4100
8656483,2012-04-30T04:00:00,3.028,3.31,2012-04-29 05:30:00.0,0.282,2012-04-29 12:42:00.0,2200,2200
8656483,2012-05-07T04:00:00,5.292,5.066,2012-05-07 01:06:00.0,-0.226,2012-05-06 18:30:00.0,4100,4100
8656483,2012-05-08T04:00:00,4.958,5.079,2012-05-08 01:54:00.0,0.121,2012-05-07 19:18:00.0,4100,4100
8656483,2012-05-14T04:00:00,3.157,3.15,2012-05-13 07:00:00.0,-0.007,2012-05-13 12:48:00.0,2100,2100
8656483,2012-05-21T04:00:00,3.451,4.091,2012-05-21 00:48:00.0,0.64,2012-05-20 18:12:00.0,4200,4200
8656483,2012-05-29T04:00:00,2.9330000000000003,3.478,2012-05-28 05:00:00.0,0.545,2012-05-28 11:48:00.0,2200,2200
8656483,2012-06-04T04:00:00,4.849,4.99,2012-06-04 00:12:00.0,0.141,2012-06-03 17:12:00.0,4200,4200
8656483,2012-06-11T04:00:00,3.432,3.665,2012-06-10 05:06:00.0,0.233,2012-06-10 11:36:00.0,2200,2200
8656483,2012-06-18T04:00:00,3.383,4.649,2012-06-17 23:42:00.0,1.266,2012-06-17 16:36:00.0,4200,4200
8656483,2012-06-25T04:00:00,3.133,3.865,2012-06-24 04:06:00.0,0.732,2012-06-24 09:48:00.0,4000,2300
8656483,2012-07-02T04:00:00,4.603000000000001,4.347,2012-07-01 22:12:00.0,-0.256,2012-07-01 16:12:00.0,4200,4300
8656483,2012-07-09T04:00:00,3.668,3.822,2012-07-08 04:00:00.0,0.154,2012-07-08 10:00:00.0,2300,2300
8656483,2012-07-16T04:00:00,3.11,3.658,2012-07-15 22:18:00.0,0.548,2012-07-15 15:48:00.0,4300,4300
8656483,2012-07-23T04:00:00,3.209,4.006,2012-07-22 15:06:00.0,0.797,2012-07-22 21:06:00.0,4000,4000
8656483,2012-07-30T04:00:00,4.324,4.298,2012-07-29 21:42:00.0,-0.026,2012-07-29 14:54:00.0,4300,2000
8656483,2012-08-06T04:00:00,3.3930000000000002,3.442,2012-08-05 14:54:00.0,0.049,2012-08-05 08:54:00.0,4000,4000
8656483,2012-08-13T04:00:00,3.061,3.389,2012-08-12 20:30:00.0,0.328,2012-08-12 14:36:00.0,2000,2000
8656483,2012-08-20T04:00:00,4.081,4.918,2012-08-20 02:00:00.0,0.837,2012-08-19 07:06:00.0,4100,4100
8656483,2012-08-27T04:00:00,3.763,4.285,2012-08-26 20:36:00.0,0.522,2012-08-26 13:48:00.0,2000,2000
8656483,2012-09-04T04:00:00,3.363,4.032,2012-09-03 14:12:00.0,0.669,2012-09-03 08:06:00.0,4000,4000
8656483,2012-09-10T04:00:00,2.576,3.301,2012-09-09 18:48:00.0,0.725,2012-09-09 13:12:00.0,2100,2100
8656483,2012-09-17T04:00:00,3.878,4.298,2012-09-16 12:24:00.0,0.42,2012-09-16 18:36:00.0,4200,4200
8656483,2012-09-24T04:00:00,3.631,3.638,2012-09-23 18:54:00.0,0.007,2012-09-23 12:54:00.0,2100,2100
8656483,2012-10-01T04:00:00,3.632,3.845,2012-09-30 13:00:00.0,0.213,2012-09-30 05:42:00.0,4200,4200
8656483,2012-10-15T04:00:00,4.101,4.304,2012-10-14 11:36:00.0,0.203,2012-10-14 17:42:00.0,4200,4200
8656483,2012-10-16T04:00:00,4.423,4.439,2012-10-15 12:12:00.0,0.016,2012-10-15 05:54:00.0,4200,4200
8656483,2012-11-08T05:00:00,2.6049999999999995,4.108,2012-11-07 18:24:00.0,1.503,2012-11-07 12:48:00.0,2200,2200
8656483,2012-12-03T05:00:00,3.323,3.412,2012-12-02 15:18:00.0,0.089,2012-12-02 08:24:00.0,4100,4100
8656483,2013-01-15T05:00:00,4.37,4.055,2013-01-14 14:30:00.0,-0.315,2013-01-14 08:12:00.0,4100,4100
8656483,2013-02-05T05:00:00,3.343,3.261,2013-02-04 07:24:00.0,-0.082,2013-02-05 01:06:00.0,2200,2200
8656483,2013-03-25T04:00:00,3.4250000000000003,3.753,2013-03-24 23:36:00.0,0.328,2013-03-24 04:00:00.0,4300,4300
8656483,2013-04-01T04:00:00,3.845,3.665,2013-03-31 04:00:00.0,-0.18,2013-03-31 09:42:00.0,4000,4000
8656483,2013-04-08T04:00:00,3.734,3.327,2013-04-07 22:42:00.0,-0.407,2013-04-07 16:12:00.0,4300,4300
8656483,2013-04-15T04:00:00,3.1790000000000003,3.373,2013-04-14 04:00:00.0,0.194,2013-04-14 20:54:00.0,2300,4000
8656483,2013-04-22T04:00:00,2.927,2.963,2013-04-21 21:30:00.0,0.036,2013-04-21 14:54:00.0,2000,2000
8656483,2013-04-29T04:00:00,3.723,3.274,2013-04-28 14:18:00.0,-0.449,2013-04-28 20:42:00.0,4000,4000
8656483,2013-05-06T04:00:00,3.373,4.347,2013-05-05 21:48:00.0,0.974,2013-05-05 15:00:00.0,2000,2000
8656483,2013-05-07T04:00:00,3.455,4.383,2013-05-06 22:12:00.0,0.928,2013-05-06 16:06:00.0,4300,4300
8656483,2013-05-13T04:00:00,3.314,3.75,2013-05-13 02:42:00.0,0.436,2013-05-12 08:18:00.0,4000,4100
8656483,2013-05-20T04:00:00,2.674,2.917,2013-05-19 19:30:00.0,0.243,2013-05-19 13:18:00.0,2100,2100
8656483,2013-05-28T04:00:00,3.763,3.32,2013-05-27 14:36:00.0,-0.443,2013-05-27 20:24:00.0,4000,4000
8656483,2013-06-03T04:00:00,3.337,3.035,2013-06-02 20:18:00.0,-0.302,2013-06-02 14:12:00.0,2100,2100
8656483,2013-06-10T04:00:00,3.517,3.35,2013-06-10 01:42:00.0,-0.167,2013-06-09 18:30:00.0,4100,4100
8656483,2013-06-17T04:00:00,2.939,3.425,2013-06-16 05:48:00.0,0.486,2013-06-16 12:12:00.0,2200,2200
8656483,2013-06-24T04:00:00,5.131,4.508,2013-06-24 00:48:00.0,-0.623,2013-06-23 17:54:00.0,4100,4100
8656483,2013-07-01T04:00:00,3.537,3.425,2013-06-30 19:12:00.0,-0.112,2013-06-30 12:48:00.0,2100,2100
8656483,2013-07-08T04:00:00,3.468,3.422,2013-07-08 00:42:00.0,-0.046,2013-07-07 17:24:00.0,4200,4200
8656483,2013-07-15T04:00:00,2.923,3.422,2013-07-14 16:42:00.0,0.499,2013-07-14 10:12:00.0,2300,2300
8656483,2013-07-22T04:00:00,5.069,4.577,2013-07-22 00:06:00.0,-0.492,2013-07-21 16:54:00.0,4200,4200
8656483,2013-07-29T04:00:00,3.38,4.003,2013-07-28 04:30:00.0,0.623,2013-07-28 10:54:00.0,2300,2300
8656483,2013-08-05T04:00:00,3.294,3.947,2013-08-04 23:00:00.0,0.653,2013-08-04 16:54:00.0,4300,4200
8656483,2013-08-12T04:00:00,3.317,3.478,2013-08-11 15:54:00.0,0.161,2013-08-11 09:24:00.0,4000,4000
8656483,2013-08-20T04:00:00,4.711,4.593,2013-08-19 23:36:00.0,-0.118,2013-08-19 16:54:00.0,4200,4200
8656483,2013-08-26T04:00:00,3.429,4.239,2013-08-25 15:36:00.0,0.81,2013-08-25 09:30:00.0,2300,4000
8656483,2013-09-03T04:00:00,3.1959999999999997,3.606,2013-09-02 22:48:00.0,0.41,2013-09-02 15:54:00.0,4300,4300
8656483,2013-09-09T04:00:00,3.599,4.022,2013-09-08 14:30:00.0,0.423,2013-09-08 07:54:00.0,4000,4000
8656483,2013-09-16T04:00:00,3.789,3.96,2013-09-15 21:12:00.0,0.171,2013-09-15 14:54:00.0,2000,2000
8656483,2013-09-23T04:00:00,4.131,4.646,2013-09-22 14:36:00.0,0.515,2013-09-22 08:12:00.0,4000,4000
8656483,2013-09-30T04:00:00,2.458,3.862,2013-09-29 20:30:00.0,1.404,2013-09-29 13:54:00.0,2000,2000
8656483,2013-10-07T04:00:00,4.078,4.347,2013-10-06 13:30:00.0,0.269,2013-10-06 06:42:00.0,4100,4100
8656483,2013-10-21T04:00:00,3.9339999999999997,4.403,2013-10-20 13:12:00.0,0.469,2013-10-20 06:42:00.0,4100,4100
8656483,2013-11-05T05:00:00,4.6160000000000005,4.331,2013-11-04 13:24:00.0,-0.285,2013-11-04 06:24:00.0,4200,4200
8656483,2013-12-09T05:00:00,3.6390000000000002,4.275,2013-12-08 17:24:00.0,0.636,2013-12-08 10:54:00.0,2300,2300
8656483,2014-01-09T05:00:00,3.549,3.346,2014-01-08 06:06:00.0,-0.203,2014-01-09 01:00:00.0,2200,2200
8656483,2014-02-17T05:00:00,3.566,3.468,2014-02-16 13:54:00.0,-0.098,2014-02-16 06:30:00.0,4200,4200
8656483,2014-03-24T04:00:00,3.274,3.333,2014-03-23 04:36:00.0,0.059,2014-03-23 23:54:00.0,2200,2200
8656483,2014-03-31T04:00:00,4.491,3.727,2014-03-30 11:30:00.0,-0.764,2014-03-30 17:54:00.0,4200,4200
8656483,2014-04-07T04:00:00,2.612,3.481,2014-04-06 05:12:00.0,0.869,2014-04-06 11:42:00.0,2200,2200
8656483,2014-04-14T04:00:00,3.609,3.255,2014-04-13 23:54:00.0,-0.354,2014-04-13 17:12:00.0,4200,4200
8656483,2014-04-21T04:00:00,4.2219999999999995,4.593,2014-04-20 04:30:00.0,0.371,2014-04-20 22:30:00.0,2300,2300
